,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability,(broken)Observability
CO2,1,3,5,11,3,4,15,21,0.5,9
TCOMB_FE,2,4,3,4,4,5,12,8,0.0,9
TCOMB_RA1,3,8,1,0,1,3,17,4,0.5,9
UC_10VD,3,5,1,0,1,4,4,33,0.0,9
UC_12,1,1,1,5,3,2,22,31,0.5,9
DFF_12.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_13.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_2.CK,1,0,0,0,1,1,-1,-1,-1.0,9
TESTB,1,1,2,2,6,-1,3,36,0.5,9
UC_17VZVOR1NF,2,4,1,1,3,2,17,27,0.0,9
DFF_18.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_11.CK,1,0,0,0,1,1,-1,-1,-1.0,9
TCOMBVNODE8VOR2NF,2,2,1,1,3,3,11,6,0.5,9
UC_18,1,0,4,5,4,1,12,24,0.0,9
TCOMB_RA1VOR2NF,3,3,1,1,2,2,16,5,0.0,9
DFF_5.CK,1,0,0,0,1,1,-1,-1,-1.0,9
TCOMBVNQA,1,1,5,5,2,2,6,10,0.5,9
UC_8VZVOR1NF,2,4,1,1,3,2,18,35,0.0,9
C3_Q1,1,0,11,14,3,1,9,16,0.0,9
C3_Q0,1,0,10,16,3,1,5,10,0.0,9
FMBVIIR1,1,0,1,2,7,-1,2,19,0.5,9
TCOMBVNODE19,2,2,1,2,2,3,17,10,0.0,9
C2VCO2,4,5,1,1,4,3,18,28,0.0,9
DFF_7.Q,0,0,1,1,1,0,-1,-1,-1.0,9
TCOMBVNODE15,4,4,1,1,2,3,10,10,0.0,9
DFF_3.D,1,2,0,0,0,1,-1,-1,-1.0,9
C3_Q1VZVOR1NF,2,3,1,1,3,2,10,19,0.0,9
OUTBUFVBUFG1VIIR1,1,1,1,0,-1,2,19,2,0.5,9
C2_CO,3,6,5,9,2,3,14,22,0.0,9
TESTLVIINLATCHVCDAD,2,2,1,0,1,6,5,31,0.25,9
UC_17VD,3,6,1,0,1,4,15,25,0.0,9
DFF_14.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_6.CK,1,0,0,0,1,1,-1,-1,-1.0,9
C2_QN2,1,1,3,3,3,2,17,29,0.5,9
RED2,1,1,0,0,-1,4,19,0,0.0,9
R2CVAD2NF,2,3,1,1,2,5,14,6,0.0,9
UC_13,1,1,1,1,5,2,16,37,0.5,9
OUTBUFVBUFG2VIIR1,1,1,1,0,-1,2,19,2,0.0,9
FMB,1,1,2,2,6,-1,3,18,0.5,9
UC_20,1,1,1,5,3,2,17,23,0.5,9
TCOMB_GA2VAD4NF,2,2,1,1,2,2,16,5,0.0,9
TCOMBVNFEL,1,1,2,2,3,2,16,6,0.5,9
DFF_17.Q,0,0,1,2,1,0,-1,-1,-1.0,9
OUTBUFVBUFY1VIIR1,1,1,1,0,-1,3,18,2,0.5,9
TCOMBVNODE4VOR1NF,4,4,1,1,2,2,11,10,0.5,9
TESTLVIINMUXVIIR1,1,1,1,1,5,-1,4,35,0.5,9
UC_19VD,3,6,1,0,1,4,15,25,0.0,9
UC_16VZVOR1NF,2,5,1,1,3,2,17,27,0.0,9
DFF_9.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_9.Q,0,0,1,7,1,0,-1,-1,-1.0,9
UC_11,1,0,3,5,4,1,9,32,0.0,9
UC_9VZVOR1NF,2,3,1,1,3,2,16,35,0.0,9
DFF_6.D,1,4,0,0,0,1,-1,-1,-1.0,9
CLRBVIIR1,1,0,1,21,3,-1,2,13,0.5,9
C2VIINHN,1,2,2,2,4,3,8,28,0.0,9
FMLVIINLATCHN,1,1,1,1,5,2,7,17,0.75,9
DFF_4.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_11.Q,0,0,1,11,1,0,-1,-1,-1.0,9
DFF_19.CK,1,0,0,0,1,1,-1,-1,-1.0,9
C3_Q3VD,3,5,1,0,1,4,20,12,0.0,9
UC_14,1,1,2,3,5,2,6,37,0.5,9
FMLVIINLATCHVCDAD,2,2,1,0,1,6,5,13,0.25,9
FMLVIINMUXVOR2NF,2,2,1,1,4,3,5,16,0.75,9
C3_Q2VZ,2,4,1,1,2,3,13,18,0.5,9
TESTLVIINLATCHVCDN,1,1,1,1,2,-1,4,32,0.5,9
UC_11VZ,1,1,1,1,2,3,11,34,0.0,9
TCOMBVNODE4,2,7,1,1,3,4,12,9,0.0,9
UC_16VD,3,5,1,0,1,4,15,25,0.0,9
OUTBUFVBUFY2VIIR1,1,1,1,0,-1,2,13,2,0.5,9
OLATCH_R1L,1,0,1,1,-1,1,18,3,0.5,9
UC_10,1,0,4,5,4,1,5,32,0.0,9
TCOMBVNODE8VOR1NF,3,3,1,1,3,3,10,6,0.5,9
OLATCH_G1L,1,0,1,1,-1,1,18,3,0.0,9
TCOMBVNODE16,2,6,2,5,3,3,18,9,0.5,9
C3_Q0VZ,2,4,1,1,2,3,7,12,0.5,9
TCOMBVNODE16VOR1NF,4,5,1,2,4,3,10,10,0.5,9
R2CVAD1NF,2,3,1,1,2,3,13,6,0.0,9
DFF_3.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_8.D,1,1,0,0,0,1,-1,-1,-1.0,9
UC_18VZVOR1NF,2,3,1,1,3,2,13,27,0.0,9
FM,0,0,1,1,8,-1,0,20,0.5,9
DFF_18.CK,1,0,0,0,1,1,-1,-1,-1.0,9
OLATCH_G2L,1,0,1,1,-1,1,18,3,0.5,9
UC_9VUC_0,2,3,1,1,3,2,12,35,0.5,9
CTST,2,3,5,12,3,2,7,29,0.5,9
DFF_1.D,1,2,0,0,0,1,-1,-1,-1.0,9
DFF_16.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_7.D,1,2,0,0,0,1,-1,-1,-1.0,9
DFF_9.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_5.Q,0,0,1,1,1,0,-1,-1,-1.0,9
C3_Q0VD,3,6,1,0,1,4,4,11,0.0,9
TCOMBVNODE14,2,5,1,3,2,4,11,9,0.5,9
OLATCH_R2L,1,1,1,1,-1,2,17,3,0.0,9
UC_9VZ,2,4,1,1,2,3,13,34,0.5,9
TESTLVIINMUXVOR2NF,2,2,1,1,4,3,5,34,0.75,9
DFF_3.Q,0,0,1,1,1,0,-1,-1,-1.0,9
C3_Q2VUC_0,2,4,1,1,3,2,12,19,0.5,9
DFF_12.CK,1,0,0,0,1,1,-1,-1,-1.0,9
DFF_20.CK,1,0,0,0,1,1,-1,-1,-1.0,9
TESTLVIINMUX,1,2,1,1,2,5,7,32,0.5,9
II84,1,2,1,1,2,5,13,8,0.5,9
Y1CVAD1NF,2,3,1,1,2,3,20,6,0.0,9
TCOMB_GA2VAD3NF,2,2,1,1,2,2,16,5,0.0,9
YLW1,1,1,0,0,-1,4,19,0,0.0,9
UC_8VD,3,4,1,0,1,4,20,33,0.0,9
TESTLVIINLATCHN,1,1,1,1,5,2,7,35,0.75,9
C1VCO2,3,3,1,1,4,3,17,36,0.0,9
UC_17VUC_0,2,4,1,1,3,2,17,27,0.5,9
TCOMBVNODE8,4,7,1,1,2,2,11,5,0.5,9
DFF_19.D,1,3,0,0,0,1,-1,-1,-1.0,9
C3VCO1,3,3,2,2,4,3,11,20,0.0,9
UC_17VZ,2,4,1,1,2,3,18,26,0.5,9
C3_Q2VZVOR1NF,2,4,1,1,3,2,16,19,0.0,9
TCOMBVNQB,1,1,3,3,3,2,10,12,0.5,9
UC_22,1,1,3,5,5,2,17,29,0.5,9
C3_Q0VZVOR1NF,2,2,1,1,3,2,6,13,0.0,9
TCOMBVNODE3,3,4,1,2,4,3,11,8,0.5,9
UC_8,1,0,2,2,4,1,21,32,0.0,9
TESTL,1,0,3,7,4,1,6,30,0.25,9
DFF_8.Q,0,0,1,5,1,0,-1,-1,-1.0,9
C3_Q1VUC_0,2,3,1,1,3,2,10,19,0.5,9
DFF_17.D,1,3,0,0,0,1,-1,-1,-1.0,9
CK,0,0,21,0,-1,-1,0,-1,0.5,9
TCOMB_FE_BF,1,1,1,0,1,6,14,7,0.0,9
UC_17,1,0,4,6,4,1,16,24,0.0,9
UC_11VD,3,4,1,0,1,4,8,33,0.0,9
UC_23,1,1,1,4,3,2,22,15,0.5,9
TCOMB_GA2VAD1NF,3,3,1,1,2,3,22,5,0.0,9
OLATCHVUC_6,1,0,1,1,-1,1,16,4,0.5,9
DFF_6.Q,0,0,1,1,1,0,-1,-1,-1.0,9
UC_18VD,3,6,1,0,1,4,11,25,0.0,9
DFF_16.D,1,3,0,0,0,1,-1,-1,-1.0,9
UC_27,3,5,4,4,2,3,7,14,0.0,9
UC_10VZVOR1NF,2,2,1,1,3,2,12,35,0.0,9
C3_Q0VUC_0,2,2,1,1,3,2,6,13,0.5,9
DFF_5.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_12.Q,0,0,1,10,1,0,-1,-1,-1.0,9
C3_Q2,1,0,10,14,4,1,15,16,0.0,9
DFF_20.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_4.Q,0,0,1,1,1,0,-1,-1,-1.0,9
C3VCO0,2,2,2,2,4,3,7,20,0.0,9
UC_10VUC_0,2,2,1,1,3,2,12,35,0.5,9
C3VCIIA,3,3,1,4,3,2,6,15,0.5,9
OLATCH_Y1L,1,1,1,1,-1,2,17,3,0.0,9
OUTBUFVBUFR1VIIR1,1,1,1,0,-1,2,19,2,0.0,9
C3_Q3VZ,1,2,1,1,2,3,19,13,0.5,9
DFF_2.Q,0,0,1,1,1,0,-1,-1,-1.0,9
TCOMB_YA1,2,5,2,2,3,4,19,7,0.0,9
DFF_15.Q,0,0,1,4,1,0,-1,-1,-1.0,9
TCOMB_GA1VAD1NF,2,5,1,1,2,2,16,5,0.0,9
TCOMB_YA2,2,5,1,0,1,3,11,4,0.0,9
C3_Q1VD,3,6,1,0,1,4,8,17,0.0,9
C2VCO1,3,4,2,2,4,3,18,28,0.0,9
TCOMB_RA2VOR3NF,2,2,1,1,2,3,17,8,0.5,9
UC_18VUC_0,2,3,1,1,3,2,9,27,0.5,9
C1VCO0,1,1,2,2,4,3,11,36,0.0,9
C1VCIIA,3,3,1,5,3,2,6,31,0.5,9
UC_24,1,1,1,1,3,2,16,16,0.5,9
Y1C,2,4,1,0,1,4,15,5,0.5,9
OUTBUFVBUFR2VIIR1,1,1,1,0,-1,3,18,2,0.5,9
TCOMB_RA2,2,6,1,1,3,4,11,7,0.0,9
DFF_15.CK,1,0,0,0,1,1,-1,-1,-1.0,9
TCOMBVNCLR,1,1,7,7,3,-1,4,5,0.5,9
DFF_18.Q,0,0,1,4,1,0,-1,-1,-1.0,9
UC_11VUC_0,1,1,1,1,3,2,10,35,0.5,9
UC_25,1,1,2,3,3,2,10,21,0.5,9
FMLVIINMUXVIIR1,1,1,1,1,5,-1,4,17,0.5,9
RED1,1,1,0,0,-1,3,20,0,0.5,9
TEST,0,0,1,1,8,-1,0,38,0.5,9
DFF_20.Q,0,0,1,3,1,0,-1,-1,-1.0,9
UC_26,1,1,3,5,5,2,6,21,0.5,9
FML,1,0,4,8,6,1,6,12,0.25,9
UC_15,1,1,3,5,5,2,10,37,0.5,9
C1VCO1,2,2,2,2,4,3,11,36,0.0,9
Y1CVAD2NF,2,3,1,1,2,5,14,6,0.0,9
DFF_11.D,1,3,0,0,0,1,-1,-1,-1.0,9
TCOMBVNODE4VOR2NF,3,3,1,1,2,3,16,10,0.5,9
TCOMB_RA1VOR1NF,4,4,1,1,2,2,16,5,0.5,9
UC_9,1,0,4,4,4,1,15,32,0.0,9
FMLVIINMUXVOR1NF,2,2,1,1,4,2,7,16,0.5,9
DFF_0.Q,0,0,1,3,1,0,-1,-1,-1.0,9
C3_Q2VD,3,6,1,0,1,4,14,17,0.0,9
OLATCH_Y2L,1,0,1,1,-1,1,12,3,0.0,9
DFF_14.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_0.CK,1,0,0,0,1,1,-1,-1,-1.0,9
UC_19VUC_0,2,2,1,1,3,2,17,27,0.5,9
CLR,0,0,1,1,4,-1,0,14,0.5,9
UC_10VZ,2,4,1,1,2,3,13,34,0.5,9
DFF_10.D,1,3,0,0,0,1,-1,-1,-1.0,9
TCOMBVNODE6,4,4,1,1,3,3,11,6,0.5,9
UC_16VZ,1,2,1,1,2,3,18,26,0.5,9
C3_Q3,1,0,7,10,4,1,21,11,0.0,9
TCOMB_GA1,2,6,1,0,1,3,17,4,0.0,9
DFF_16.Q,0,0,1,4,1,0,-1,-1,-1.0,9
DFF_19.Q,0,0,1,4,1,0,-1,-1,-1.0,9
R2C,2,4,1,0,1,4,15,5,0.5,9
C3VCO2,4,4,1,1,4,3,17,15,0.0,9
DFF_2.D,1,2,0,0,0,1,-1,-1,-1.0,9
OLATCH_FEL,1,0,5,6,3,1,15,6,0.0,9
GRN1,1,1,0,0,-1,3,20,0,0.0,9
UC_19VZ,2,4,1,1,2,3,18,26,0.5,9
DFF_4.D,1,2,0,0,0,1,-1,-1,-1.0,9
TCOMBVNODE12,4,4,1,1,2,2,10,5,0.5,9
C2VCIIA,3,3,1,5,3,2,13,23,0.5,9
DFF_17.CK,1,0,0,0,1,1,-1,-1,-1.0,9
GRN2,1,1,0,0,-1,3,20,0,0.5,9
DFF_15.D,1,3,0,0,0,1,-1,-1,-1.0,9
DFF_10.CK,1,0,0,0,1,1,-1,-1,-1.0,9
OLATCHVUC_5,1,0,1,1,-1,1,16,4,0.5,9
DFF_7.CK,1,0,0,0,1,1,-1,-1,-1.0,9
UC_19,1,0,4,6,4,1,16,24,0.0,9
TCOMBVNQC,1,1,5,5,3,2,16,6,0.5,9
FEN,1,2,2,2,3,6,13,7,0.5,9
TCOMB_RA2VOR1NF,4,4,1,1,2,2,10,8,0.5,9
UC_16,1,0,2,2,4,1,16,24,0.0,9
YLW2,1,1,0,0,-1,3,14,0,0.0,9
