,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability
G261,3,5,1,1,2,3,7,9,0.25
IIII512,3,3,1,1,-1,9,12,10,0.075317383
II511,1,2,1,1,5,10,10,13,0.967163086
II341,1,1,1,2,7,13,7,9,0.751708984
G143,1,1,1,1,-1,-1,6,4,0.125
II378,1,1,1,4,6,7,8,10,0.967163086
IIII313,1,3,1,1,9,3,5,7,0.690429688
G130,1,1,1,0,1,10,11,8,0.25
II266,1,2,1,1,8,5,6,13,0.868896484
G12,0,0,1,1,-1,-1,0,9,0.5
G318,2,2,1,1,-1,4,5,4,0.125
II363,1,2,1,1,-1,5,5,4,0.967163086
G84,2,1,0,0,-1,7,2,0,0.0625
II375,1,2,1,1,-1,5,5,4,0.956665039
G249,3,3,1,1,3,2,3,9,0.25
DFF_12.D,1,1,0,0,0,1,2,-1,-1
G139,1,1,1,0,1,14,13,9,0.646850586
G312,2,2,1,1,-1,4,5,4,0.125
G215,1,1,1,2,8,3,9,6,0.40234375
DFF_10.D,1,1,0,0,0,1,2,-1,-1
G288,1,1,1,1,4,12,7,12,0.368896484
G36,0,0,1,1,-1,-1,0,3,0.5
G132,1,1,1,0,1,11,2,8,0.25
G142,1,1,1,0,1,15,7,9,0.967163086
DFF_8.D,1,1,0,0,0,1,2,-1,-1
G285,2,4,1,1,4,11,10,12,0.751708984
G218,1,1,1,1,-1,-1,4,5,0.5
II208,1,1,1,1,8,2,11,7,0.967163086
G293,2,2,2,2,9,4,9,5,0.324951172
IIII527,3,3,1,1,2,2,3,10,0.25
II463,1,2,1,1,-1,5,12,4,0.751708984
G70,1,0,1,1,12,1,14,8,0.967163086
G365,1,1,4,4,20,-1,4,10,0.5
DFF_6.CK,1,0,0,0,1,1,1,-1,-1
IIII265,1,4,1,1,2,9,10,9,0.967163086
G68,1,0,1,1,12,1,14,8,0.324951172
IIII649,1,0,1,2,6,-1,2,13,0.5
G64,1,0,1,1,21,1,22,11,0.40234375
G358,1,1,2,2,6,16,8,7,0.751708984
G353,1,1,2,3,6,16,8,8,0.340454102
G140,1,1,1,0,1,14,15,9,0.967163086
II551,1,1,1,1,2,7,7,13,0.956665039
G18,0,0,1,0,-1,-1,0,2,0.5
G223,1,1,1,1,-1,3,-1,5,0.25
G244,2,2,1,1,4,7,4,11,0.27734375
G3,0,0,1,12,8,-1,0,8,0.5
G1,0,0,1,1,7,-1,0,14,0.5
G86BF,1,2,0,0,-1,11,3,0,0.751708984
G315,2,2,1,1,-1,4,5,4,0.125
G381,1,1,5,5,5,8,8,7,0.467163086
G239,2,2,1,1,6,10,10,13,0.368896484
G190,1,1,1,1,7,6,10,10,0.340454102
DFF_5.D,1,1,0,0,0,1,2,-1,-1
DFF_1.Q,0,0,1,1,1,0,2,10,-1
G98,2,1,1,0,-1,7,2,2,0.233581543
G259,4,6,1,1,4,9,4,12,0.044921875
G263,4,4,1,1,7,-1,3,9,0.0625
G162,1,1,1,1,4,6,6,13,0.40234375
G100BF,1,2,0,0,-1,8,3,0,0.918029785
G27,0,0,1,1,-1,-1,0,3,0.5
G354,1,1,2,2,7,17,9,7,0.751708984
II452,1,1,1,2,7,14,7,9,0.751708984
G71,1,0,1,1,12,1,13,8,0.646850586
G363,1,1,2,2,5,-1,3,13,0.5
G345,1,1,1,1,-1,6,7,3,0.467163086
G28,0,0,1,0,-1,-1,0,2,0.5
G324,2,2,2,2,9,4,5,5,0.467163086
G362,1,1,2,2,5,-1,3,12,0.5
G30,0,0,1,1,-1,-1,0,3,0.5
G91,1,1,0,0,-1,-1,3,0,0.5
IIII336,1,1,1,1,2,14,14,10,0.368896484
DFF_15.D,1,1,0,0,0,1,2,-1,-1
G238,2,2,1,1,5,10,9,13,0.751708984
II360,1,2,1,1,5,5,5,14,0.967163086
G321,2,2,1,1,-1,4,5,4,0.125
DFF_18.D,1,1,0,0,0,1,2,-1,-1
IIII237,1,3,1,1,2,11,5,9,0.956665039
G327,1,1,1,2,8,9,11,3,0.689331055
G73,1,0,1,1,12,1,14,8,0.646850586
G316,1,1,1,0,-1,6,7,2,0.125
G4,0,0,1,1,13,-1,0,8,0.5
G13,0,0,1,1,23,-1,0,9,0.5
II199,1,1,1,1,8,2,11,7,0.956665039
G74,1,0,1,1,12,1,14,8,0.967163086
G101,2,1,1,0,-1,7,2,2,0.162475586
IIII285,1,2,1,1,3,12,11,11,0.646850586
IIII495,3,3,1,1,-1,9,16,10,0.075317383
IIII210,1,1,1,1,2,13,18,10,0.967163086
G333,1,1,1,2,13,7,9,3,0.690429688
G173,1,1,1,1,10,10,4,12,0.340454102
II442,1,1,1,1,7,7,8,4,0.527832031
G98BF,1,2,0,0,-1,8,3,0,0.918029785
IIII272,1,3,1,1,2,8,8,9,0.967163086
G20,0,0,1,0,-1,-1,0,2,0.5
G99,2,1,1,0,-1,7,2,2,0.170227051
G380,1,1,1,0,1,8,8,12,0.40234375
G86,2,1,2,1,12,10,2,2,0.340454102
G282,3,9,1,1,4,3,4,8,0.527832031
IIII341,1,2,1,1,3,12,11,11,0.646850586
G339,1,1,1,1,-1,6,7,3,0.467163086
IIII343,1,1,1,1,2,13,4,10,0.751708984
G348,1,1,1,1,-1,6,13,3,0.340454102
G131,1,1,1,0,1,9,2,8,0.25
G209,1,1,1,2,6,3,7,6,0.40234375
G310,1,1,1,1,-1,6,6,3,0.40234375
G216,1,1,1,1,-1,-1,4,5,0.5
G112,1,1,1,2,8,17,10,6,0.340454102
G280,3,9,1,1,5,4,6,8,0.527832031
II366,1,2,1,1,8,5,12,13,0.751708984
G208,2,2,1,2,6,18,3,6,0.590454102
DFF_14.Q,0,0,1,1,1,0,2,9,-1
II544,1,2,1,1,-1,5,5,4,0.956665039
G271,3,8,1,1,3,8,4,11,0.40234375
G287,2,4,1,1,4,11,6,12,0.751708984
G279,2,4,1,1,4,11,7,12,0.751708984
IIII315,1,1,1,1,11,4,6,6,0.526733398
IIII306,1,3,1,1,5,4,5,7,0.689331055
G391,1,1,3,3,6,7,5,13,0.956665039
G241,3,5,1,1,-1,10,5,9,0.015625
G109,1,1,1,2,10,3,11,6,0.324951172
G134,1,1,1,1,6,7,9,5,0.689331055
G104,2,1,1,0,-1,7,2,2,0.201171875
G72,1,0,1,1,12,1,13,8,0.967163086
G393,1,1,5,5,2,9,6,11,0.956665039
II190,1,1,1,1,-1,2,-1,6,0.967163086
G224,1,1,1,1,4,11,16,12,0.967163086
G77,1,0,1,1,8,1,9,8,0.40234375
IIII660,1,0,1,5,22,-1,2,11,0.5
G300,2,3,2,2,5,4,4,5,0.40234375
II275,1,2,1,1,-1,5,6,3,0.967163086
IIII524,3,3,1,1,3,8,4,12,0.478149414
G67,1,0,1,1,20,1,22,9,0.25
G243,2,2,1,1,2,9,4,12,0.27734375
II373,1,2,1,1,5,10,11,13,0.967163086
G264,4,4,1,1,7,-1,3,9,0.0625
G9,0,0,1,1,23,-1,0,12,0.5
II303,1,1,1,1,-1,-1,7,3,0.875
G342,1,1,1,1,-1,6,12,3,0.340454102
G371,1,1,5,5,5,8,9,10,0.467163086
II260,1,2,1,1,8,5,6,12,0.868896484
DFF_3.D,1,2,0,0,0,1,2,-1,-1
IIII680,1,0,1,2,22,-1,2,8,0.5
IIII279,1,2,1,1,2,10,4,9,0.967163086
DFF_14.CK,1,0,0,0,1,1,1,-1,-1
G111,1,1,1,2,10,3,11,6,0.646850586
DFF_7.D,1,1,0,0,0,1,2,-1,-1
G85,2,1,0,0,-1,7,2,0,0.0625
IIII646,1,0,1,2,6,-1,2,13,0.5
II178,1,1,1,1,-1,2,-1,6,0.967163086
II272,1,2,1,1,-1,5,6,3,0.967163086
G95BF,1,2,0,0,-1,8,3,0,0.859436035
IIII521,3,3,1,1,3,8,5,13,0.920654297
G179,1,1,1,1,8,13,6,10,0.340454102
DFF_17.D,1,1,0,0,0,1,2,-1,-1
DFF_4.CK,1,0,0,0,1,1,1,-1,-1
G283,3,7,1,1,8,2,4,8,0.526733398
G338,2,2,2,2,9,4,5,5,0.467163086
II257,1,2,1,1,-1,5,6,4,0.868896484
G360,1,1,7,7,11,-1,3,6,0.5
G24,0,0,1,2,13,-1,0,3,0.5
DFF_1.CK,1,0,0,0,1,1,1,-1,-1
G76,1,0,1,1,9,1,14,8,0.40234375
II278,1,2,1,1,-1,5,6,3,0.967163086
IIII178,1,0,1,0,-1,-1,2,2,0.5
II281,1,2,1,1,-1,5,6,3,0.967163086
DFF_9.CK,1,0,0,0,1,1,1,-1,-1
IIII652,1,0,1,2,6,-1,2,13,0.5
G266,4,4,1,1,-1,9,14,8,0.03125
G272,3,8,1,1,3,10,4,11,0.40234375
G369,1,1,4,6,5,8,15,11,0.340454102
II263,1,2,1,1,-1,5,6,4,0.868896484
II369,1,2,1,1,-1,5,12,4,0.751708984
II449,1,1,1,1,9,12,5,11,0.751708984
IIII406,1,2,1,1,11,9,3,13,0.751708984
DFF_9.Q,0,0,1,1,1,0,2,9,-1
G2,0,0,1,12,3,-1,0,11,0.5
G166,1,1,1,1,7,6,7,9,0.467163086
G392,1,1,5,9,2,8,8,11,0.40234375
G307,1,1,1,1,-1,6,6,3,0.40234375
IIII258,1,3,1,1,2,9,4,9,0.967163086
G356,1,1,2,2,6,15,8,7,0.751708984
G33,0,0,1,1,-1,-1,0,3,0.5
G298,1,1,1,0,-1,15,11,2,0.471862793
G17,0,0,1,1,-1,-1,0,3,0.5
IIII301,1,1,1,1,10,4,6,6,0.527832031
G258,4,6,1,1,4,9,4,12,0.044921875
G254,2,2,1,1,5,10,9,13,0
G89,2,1,2,1,14,8,2,2,0.345214844
II211,1,1,1,1,-1,2,-1,6,0.967163086
G92,2,1,0,0,-1,-1,2,0,0.0625
G230,2,2,1,1,5,10,11,13,0.751708984
G82,1,0,1,1,-1,1,-1,7,0.25
II196,1,1,1,1,11,2,14,7,0.967163086
G133,1,1,1,0,1,14,3,9,0.646850586
IIII546,3,7,1,1,-1,10,5,8,0.499206543
G275,3,5,1,1,3,8,8,10,0.25
DFF_13.D,1,1,0,0,0,1,2,-1,-1
G90,2,1,0,0,-1,17,2,0,0.235931396
G335,2,2,2,2,8,4,10,5,0.340454102
G79,1,0,1,1,-1,1,-1,7,0.25
DFF_2.Q,0,0,1,1,1,0,2,11,-1
IIII292,1,3,1,1,4,5,6,7,0.689331055
IIII287,1,1,1,1,2,13,11,10,0.751708984
DFF_18.CK,1,0,0,0,1,1,1,-1,-1
IIII244,1,3,1,1,2,9,5,9,0.956665039
II608,1,1,1,1,-1,14,10,3,0.523681641
G88,2,1,2,1,10,9,2,2,0.340454102
G221,1,1,1,1,-1,3,-1,5,0.25
G252,2,2,1,1,5,10,9,13,0
G231,2,2,1,1,7,-1,3,9,0.25
II469,1,2,1,1,-1,5,5,4,0.956665039
G106,2,1,1,0,-1,7,2,2,0.201171875
IIII251,1,3,1,1,2,11,5,9,0.967163086
G382,1,1,1,1,6,9,10,14,0.868896484
G184,1,1,1,2,9,12,6,8,0.345214844
G286,1,1,1,1,4,12,12,12,0.368896484
G274,3,7,1,1,3,10,4,10,0.40234375
II354,1,2,1,1,8,5,10,12,0.967163086
DFF_12.Q,0,0,1,1,1,0,2,9,-1
II321,1,1,1,1,12,6,8,4,0.527832031
G248,4,4,1,1,7,-1,3,9,0.0625
IIII537,4,4,1,1,-1,9,8,9,0.076538086
IIII687,1,0,1,2,22,-1,2,8,0.5
G236,2,2,1,1,5,10,11,13,0.751708984
G213,1,1,1,2,6,3,10,6,0.40234375
G375,1,1,5,5,5,8,9,9,0.467163086
G69,1,0,1,1,12,1,14,8,0.646850586
G138,1,1,1,0,1,15,9,0,0.967163086
G364,1,1,5,8,21,-1,3,10,0.5
G235,2,2,1,1,6,10,9,6,0.368896484
G219,1,1,1,1,-1,3,-1,5,0.25
IIII299,1,3,1,1,9,3,5,7,0.689331055
G5,0,0,1,1,7,-1,0,14,0.5
II440,1,2,1,1,5,11,9,5,0.967163086
II269,1,2,1,1,-1,5,6,4,0.868896484
G97,2,1,1,0,-1,7,2,2,0.170227051
IIII222,1,4,1,1,-1,11,7,6,0.471862793
G322,1,1,1,0,-1,6,7,2,0.125
G15,0,0,1,1,-1,-1,0,3,0.5
II541,1,2,1,5,4,5,5,13,0.956665039
DFF_2.CK,1,0,0,0,1,1,1,-1,-1
G257,4,6,1,1,4,9,4,11,0.044921875
DFF_15.Q,0,0,1,1,1,0,2,8,-1
IIII224,1,1,1,1,-1,12,8,5,0.523681641
G169,1,1,1,1,8,14,6,10,0.340454102
G107,2,1,0,0,-1,7,2,0,0.0625
IIII655,1,0,1,5,21,-1,2,11,0.5
G394,1,1,1,0,1,8,4,11,0.40234375
II547,1,1,1,4,6,7,14,12,0.751708984
II165,1,0,1,0,-1,-1,2,2,0.5
II338,1,1,1,1,10,11,5,9,0.746948242
G377,1,1,4,6,5,8,10,8,0.340454102
G352,1,1,2,2,5,-1,3,12,0.5
G88BF,1,2,0,0,-1,10,3,0,0.751708984
G355,1,1,2,3,6,14,8,8,0.340454102
G306,2,3,2,2,5,4,4,5,0.40234375
II535,1,2,1,1,9,5,12,14,0.751708984
G136,1,1,1,1,7,6,7,5,0.689331055
II357,1,2,1,1,-1,5,10,4,0.967163086
G329,1,1,1,2,14,7,9,3,0.689331055
IIII320,1,1,1,1,3,13,9,3,0.967163086
DFF_16.Q,0,0,1,1,1,0,2,8,-1
II169,1,1,1,1,11,2,14,7,0.368896484
G384,1,1,1,1,6,9,13,14,0.967163086
G347,2,2,2,2,8,4,11,5,0.340454102
G103,2,1,1,0,-1,7,2,2,0.201171875
G206,1,1,1,1,7,6,13,13,0.340454102
G178,1,1,1,1,10,11,4,12,0.340454102
G32,0,0,1,1,-1,-1,0,3,0.5
G304,1,1,1,1,-1,6,6,3,0.40234375
IIII538,4,4,1,1,-1,9,9,9,0.03125
DFF_10.Q,0,0,1,1,1,0,2,9,-1
G260,3,5,1,1,2,9,5,12,0.08984375
G168,1,1,1,1,10,12,4,12,0.340454102
DFF_0.D,1,1,0,0,0,1,2,-1,-1
DFF_3.Q,0,0,1,1,1,0,2,10,-1
IIII322,1,1,1,1,2,13,13,2,0.368896484
G309,2,3,2,2,6,4,4,5,0.40234375
G250,2,2,1,0,1,9,3,10,0.25
DFF_13.CK,1,0,0,0,1,1,1,-1,-1
G14,0,0,1,1,-1,-1,0,3,0.5
IIII308,1,1,1,1,5,5,6,6,0.527832031
II538,1,2,1,1,-1,5,12,4,0.751708984
IIII230,1,3,1,1,2,9,5,11,0.956665039
G247,4,4,1,1,7,-1,3,9,0.0625
G341,2,2,2,2,8,4,10,5,0.340454102
G31,0,0,1,1,-1,-1,0,3,0.5
II184,1,1,1,1,-1,2,-1,6,0.967163086
G276,4,4,1,1,3,8,7,10,0.25
II527,1,1,1,2,7,15,7,9,0.751708984
G150,1,1,5,7,3,6,4,12,0.40234375
G26,0,0,1,0,-1,-1,0,2,0.5
G319,1,1,1,0,-1,6,7,2,0.125
DFF_4.Q,0,0,1,1,1,0,2,9,-1
G234,2,2,1,1,8,-1,3,9,0.25
IIII643,1,0,1,7,12,-1,2,7,0.5
IIII515,3,3,1,1,5,8,6,13,0.920654297
G359,1,1,2,2,9,13,7,7,0.746948242
G129,1,1,1,0,1,10,4,8,0.25
G101BF,1,2,0,0,-1,8,3,0,0.967163086
DFF_18.Q,0,0,1,1,1,0,2,8,-1
G99BF,1,2,0,0,-1,8,3,0,0.859436035
DFF_7.CK,1,0,0,0,1,1,1,-1,-1
G135,1,1,1,1,12,5,7,5,0.689331055
G222,1,1,1,1,-1,-1,4,5,0.5
G374,1,1,3,3,5,9,8,14,0.751708984
IIII422,1,2,1,1,13,9,3,11,0.746948242
DFF_12.CK,1,0,0,0,1,1,1,-1,-1
II335,1,1,1,1,9,11,5,11,0.751708984
II472,1,1,1,4,6,7,8,9,0.751708984
G265,3,5,1,1,-1,9,10,8,0.015625
G105,2,1,1,0,-1,7,2,2,0.201171875
G237,2,2,1,1,6,9,10,14,0.368896484
DFF_2.D,1,1,0,0,0,1,2,-1,-1
G294,1,1,1,1,-1,6,11,3,0.324951172
DFF_8.CK,1,0,0,0,1,1,1,-1,-1
G87BF,1,2,0,0,-1,9,3,0,0.751708984
G80,1,0,1,1,-1,1,-1,7,0.25
G361,1,1,2,2,5,-1,3,12,0.5
G233,2,2,1,1,7,-1,3,9,0.25
G105BF,1,2,0,0,-1,8,3,0,0.961914063
G116,1,1,1,2,7,16,10,6,0.340454102
G95,2,1,1,0,-1,7,2,2,0.170227051
II524,1,1,1,1,9,13,5,11,0.751708984
G303,2,3,2,2,6,4,4,5,0.40234375
G211,1,1,1,2,7,3,8,6,0.40234375
G225,1,1,1,1,-1,-1,4,9,0.5
G390,1,1,8,8,20,-1,4,10,0.5
G376,1,1,1,1,6,9,10,14,0.868896484
G25,0,0,1,2,15,-1,0,3,0.5
G198,1,1,1,1,7,6,9,12,0.340454102
DFF_15.CK,1,0,0,0,1,1,1,-1,-1
II386,1,1,1,4,6,7,8,11,0.751708984
II476,1,1,1,1,2,7,7,12,0.956665039
DFF_17.Q,0,0,1,1,1,0,2,8,-1
G96BF,1,2,0,0,-1,8,3,0,0.918029785
DFF_8.Q,0,0,1,1,1,0,2,9,-1
G212,2,2,1,2,6,17,3,6,0.590454102
II291,1,1,1,5,6,7,8,10,0.868896484
II324,1,1,1,1,12,6,8,4,0.526733398
G154,1,1,1,1,4,6,6,13,0.40234375
II372,1,2,1,1,5,5,5,14,0.956665039
DFF_13.Q,0,0,1,1,1,0,2,9,-1
G10,0,0,1,1,23,-1,0,12,0.5
G117,1,1,1,2,10,3,13,6,0.967163086
G397,1,1,9,9,2,9,7,10,0.967163086
G104BF,1,2,0,0,-1,8,3,0,0.961914063
DFF_11.Q,0,0,1,1,1,0,2,9,-1
G217,1,1,1,1,-1,3,-1,5,0.25
G357,1,1,2,3,6,15,8,8,0.340454102
G87,2,1,2,1,12,8,2,2,0.340454102
G65,1,0,1,1,19,1,21,9,0.25
IIII294,1,1,1,1,5,6,8,6,0.527832031
G125,1,1,1,0,1,10,6,8,0.40234375
G158,1,1,5,11,3,6,5,11,0.40234375
G137,1,1,1,1,11,5,7,5,0.690429688
G121,1,1,1,2,10,3,11,6,0.967163086
G106BF,1,2,0,0,-1,8,3,0,0.967163086
G120,1,1,1,2,7,18,10,6,0.340454102
G11,0,0,1,1,23,-1,0,9,0.5
CK,0,0,19,0,-1,-1,0,-1,0.5
G396,1,1,5,13,3,8,5,11,0.40234375
DFF_16.D,1,1,0,0,0,1,2,-1,-1
G278,2,2,1,1,3,9,3,10,0.25
G22,0,0,1,2,13,-1,0,3,0.5
G78,1,0,1,1,10,1,11,8,0.40234375
G262,4,4,1,0,1,8,4,8,0.25
DFF_11.CK,1,0,0,0,1,1,1,-1,-1
G34,0,0,1,1,-1,-1,0,3,0.5
IIII476,1,1,1,1,5,10,15,13,0.324951172
II390,1,1,1,5,3,7,7,10,0.956665039
G220,1,1,1,1,-1,-1,4,5,0.5
II181,1,1,1,1,11,2,14,7,0.751708984
G267,2,8,1,1,-1,10,11,8,0.004150391
G350,1,1,1,0,-1,-1,8,2,0.125
G373,1,1,4,6,5,8,15,10,0.340454102
G21,0,0,1,0,-1,-1,0,2,0.5
G94,1,1,0,0,-1,-1,3,0,0.5
G229,2,2,1,1,4,9,3,11,0.25
G83,2,1,0,0,-1,7,2,0,0.0625
G122,1,1,1,0,1,14,2,9,0.324951172
G367,1,1,5,8,21,-1,3,10,0.5
G89BF,1,2,0,0,-1,9,3,0,0.746948242
G141,1,1,1,0,1,14,2,9,0.646850586
G75,1,0,1,1,8,1,9,8,0.40234375
G115,1,1,1,2,10,3,13,6,0.646850586
G202,1,1,1,1,7,6,7,12,0.467163086
G256,3,5,1,1,-1,10,5,9,0.015625
G336,1,1,1,1,-1,6,12,3,0.340454102
G100,2,1,1,0,-1,7,2,2,0.233581543
G110,1,1,1,2,10,-1,4,6,0.5
G387,1,1,5,5,20,-1,4,10,0.5
II205,1,1,1,1,8,2,10,7,0.956665039
DFF_9.D,1,1,0,0,0,1,2,-1,-1
DFF_0.CK,1,0,0,0,1,1,1,-1,-1
G227,2,2,1,1,2,9,3,12,0.25
DFF_11.D,1,1,0,0,0,1,2,-1,-1
G368,1,1,4,4,21,-1,4,10,0.5
G386,1,1,2,6,22,-1,3,7,0.5
G246,2,2,1,1,5,10,9,13,0
II295,1,1,1,5,6,7,8,11,0.868896484
IIII518,3,3,1,1,5,8,6,13,0.920654297
IIII398,1,2,1,1,11,11,3,13,0.751708984
DFF_0.Q,0,0,1,1,1,0,2,12,-1
G379,1,0,12,12,8,-1,2,7,0.5
G127,1,1,1,0,1,10,6,9,0.40234375
G35,0,0,1,1,-1,-1,0,3,0.5
DFF_17.CK,1,0,0,0,1,1,1,-1,-1
DFF_7.Q,0,0,1,1,1,0,2,9,-1
II466,1,2,1,5,4,5,5,12,0.956665039
G389,1,1,2,9,22,-1,3,7,0.5
G284,1,1,1,1,4,11,12,4,0.368896484
G242,2,2,1,1,4,7,4,11,0.27734375
DFF_5.CK,1,0,0,0,1,1,1,-1,-1
G301,1,1,1,1,-1,6,6,3,0.40234375
G325,1,1,1,1,-1,6,7,3,0.467163086
G273,3,8,1,1,3,8,4,10,0.40234375
IIII633,1,0,1,2,6,-1,2,13,0.5
DFF_4.D,1,1,0,0,0,1,2,-1,-1
G19,0,0,1,0,-1,-1,0,2,0.5
